praia,latitude,longitude,data,hora,altura,hora_decimal,mes,ano,dia_mes,semana_ano,dia_da_semana
barra_norte,0.0,0.0,2025-11-02,03:57,2.87,3.95,11,2025,2,44,Sunday
barra_norte,0.0,0.0,2025-11-02,09:29,0.85,9.483333333333333,11,2025,2,44,Sunday
barra_norte,0.0,0.0,2025-11-02,16:16,2.89,16.266666666666666,11,2025,2,44,Sunday
barra_norte,0.0,0.0,2025-11-02,22:14,0.5,22.233333333333334,11,2025,2,44,Sunday
barra_norte,0.0,0.0,2025-12-02,05:29,2.35,5.483333333333333,12,2025,2,49,Tuesday
barra_norte,0.0,0.0,2025-12-02,10:57,1.44,10.95,12,2025,2,49,Tuesday
barra_norte,0.0,0.0,2025-12-02,17:19,2.46,17.316666666666666,12,2025,2,49,Tuesday
barra_norte,0.0,0.0,2025-12-02,23:40,0.85,23.666666666666668,12,2025,2,49,Tuesday
barra_norte,0.0,0.0,2025-01-03,04:04,-0.14,4.066666666666666,1,2025,3,1,Friday
barra_norte,0.0,0.0,2025-01-03,10:27,4.0,10.45,1,2025,3,1,Friday
barra_norte,0.0,0.0,2025-01-03,16:19,-0.05,16.316666666666666,1,2025,3,1,Friday
barra_norte,0.0,0.0,2025-01-03,22:51,4.02,22.85,1,2025,3,1,Friday
barra_norte,0.0,0.0,2025-02-03,04:53,0.39,4.883333333333333,2,2025,3,6,Monday
barra_norte,0.0,0.0,2025-02-03,11:29,3.39,11.483333333333333,2,2025,3,6,Monday
barra_norte,0.0,0.0,2025-02-03,17:04,0.23,17.066666666666666,2,2025,3,6,Monday
barra_norte,0.0,0.0,2025-02-03,23:55,3.29,23.916666666666668,2,2025,3,6,Monday
barra_norte,0.0,0.0,2025-03-03,04:47,-0.21,4.783333333333333,3,2025,3,10,Monday
barra_norte,0.0,0.0,2025-03-03,11:08,4.0,11.133333333333333,3,2025,3,10,Monday
barra_norte,0.0,0.0,2025-03-03,17:02,-0.21,17.033333333333335,3,2025,3,10,Monday
barra_norte,0.0,0.0,2025-03-03,23:32,3.91,23.533333333333335,3,2025,3,10,Monday
barra_norte,0.0,0.0,2025-04-03,05:23,0.44,5.383333333333334,4,2025,3,14,Thursday
barra_norte,0.0,0.0,2025-04-03,12:02,3.18,12.033333333333333,4,2025,3,14,Thursday
barra_norte,0.0,0.0,2025-04-03,17:49,0.21,17.816666666666666,4,2025,3,14,Thursday
barra_norte,0.0,0.0,2025-05-03,05:23,-0.19,5.383333333333334,5,2025,3,18,Saturday
barra_norte,0.0,0.0,2025-05-03,11:59,3.84,11.983333333333333,5,2025,3,18,Saturday
barra_norte,0.0,0.0,2025-05-03,17:51,-0.23,17.85,5,2025,3,18,Saturday
barra_norte,0.0,0.0,2025-06-03,00:36,3.03,0.6,6,2025,3,23,Tuesday
barra_norte,0.0,0.0,2025-06-03,06:04,0.57,6.066666666666666,6,2025,3,23,Tuesday
barra_norte,0.0,0.0,2025-06-03,12:40,2.93,12.666666666666666,6,2025,3,23,Tuesday
barra_norte,0.0,0.0,2025-06-03,18:31,0.3,18.516666666666666,6,2025,3,23,Tuesday
barra_norte,0.0,0.0,2025-07-03,00:19,3.7,0.31666666666666665,7,2025,3,27,Thursday
barra_norte,0.0,0.0,2025-07-03,06:06,-0.04,6.1,7,2025,3,27,Thursday
barra_norte,0.0,0.0,2025-07-03,12:47,3.57,12.783333333333333,7,2025,3,27,Thursday
barra_norte,0.0,0.0,2025-07-03,18:36,-0.13,18.6,7,2025,3,27,Thursday
barra_norte,0.0,0.0,2025-08-03,01:17,2.76,1.2833333333333332,8,2025,3,31,Sunday
barra_norte,0.0,0.0,2025-08-03,06:55,0.8,6.916666666666667,8,2025,3,31,Sunday
barra_norte,0.0,0.0,2025-08-03,13:14,2.7,13.233333333333333,8,2025,3,31,Sunday
barra_norte,0.0,0.0,2025-08-03,19:19,0.47,19.316666666666666,8,2025,3,31,Sunday
barra_norte,0.0,0.0,2025-09-03,01:14,3.39,1.2333333333333334,9,2025,3,36,Wednesday
barra_norte,0.0,0.0,2025-09-03,07:01,0.24,7.016666666666667,9,2025,3,36,Wednesday
barra_norte,0.0,0.0,2025-09-03,13:38,3.25,13.633333333333333,9,2025,3,36,Wednesday
barra_norte,0.0,0.0,2025-09-03,19:27,0.07,19.45,9,2025,3,36,Wednesday
barra_norte,0.0,0.0,2025-10-03,02:14,2.51,2.2333333333333334,10,2025,3,40,Friday
barra_norte,0.0,0.0,2025-10-03,07:49,1.07,7.816666666666666,10,2025,3,40,Friday
barra_norte,0.0,0.0,2025-10-03,14:01,2.51,14.016666666666667,10,2025,3,40,Friday
barra_norte,0.0,0.0,2025-10-03,20:21,0.68,20.35,10,2025,3,40,Friday
barra_norte,0.0,0.0,2025-11-03,02:16,3.08,2.2666666666666666,11,2025,3,45,Monday
barra_norte,0.0,0.0,2025-11-03,08:01,0.59,8.016666666666667,11,2025,3,45,Monday
barra_norte,0.0,0.0,2025-11-03,14:40,2.96,14.666666666666666,11,2025,3,45,Monday
barra_norte,0.0,0.0,2025-11-03,20:34,0.31,20.566666666666666,11,2025,3,45,Monday
barra_norte,0.0,0.0,2025-12-03,03:23,2.34,3.3833333333333333,12,2025,3,49,Wednesday
barra_norte,0.0,0.0,2025-12-03,08:57,1.32,8.95,12,2025,3,49,Wednesday
barra_norte,0.0,0.0,2025-12-03,15:02,2.4,15.033333333333333,12,2025,3,49,Wednesday
barra_norte,0.0,0.0,2025-12-03,21:46,0.84,21.766666666666666,12,2025,3,49,Wednesday
barra_norte,0.0,0.0,2025-01-04,05:02,-0.09,5.033333333333333,1,2025,4,1,Saturday
barra_norte,0.0,0.0,2025-01-04,11:32,3.83,11.533333333333333,1,2025,4,1,Saturday
barra_norte,0.0,0.0,2025-01-04,17:23,-0.35,17.383333333333333,1,2025,4,1,Saturday
barra_norte,0.0,0.0,2025-02-04,00:02,3.03,0.03333333333333333,2,2025,4,6,Tuesday
barra_norte,0.0,0.0,2025-02-04,05:46,0.67,5.766666666666667,2,2025,4,6,Tuesday
barra_norte,0.0,0.0,2025-02-04,11:57,2.97,11.95,2,2025,4,6,Tuesday
barra_norte,0.0,0.0,2025-02-04,18:04,0.19,18.066666666666666,2,2025,4,6,Tuesday
barra_norte,0.0,0.0,2025-03-04,00:02,3.72,0.03333333333333333,3,2025,4,10,Tuesday
barra_norte,0.0,0.0,2025-03-04,05:53,0.08,5.883333333333333,3,2025,4,10,Tuesday
